,player,team,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,plus_minus,date
11,Paul Pierce,BOS,34:45,6,14,.429,3,7,.429,4,6,.667,1,6,7,2,1,0,4,3,19,10.5,-7,2011-05-01
12,Rajon Rondo,BOS,32:23,3,10,.300,0,0,,2,2,1.000,0,7,7,7,3,0,5,4,8,5.6,+7,2011-05-01
13,Jermaine O'Neal,BOS,20:43,3,6,.500,0,0,,3,3,1.000,1,2,3,0,0,0,0,4,9,5.7,+2,2011-05-01
14,Delonte West,BOS,26:11,3,9,.333,2,5,.400,2,2,1.000,2,3,5,2,0,0,1,2,10,6.8,-8,2011-05-01
15,Glen Davis,BOS,22:53,2,5,.400,0,0,,0,0,,1,3,4,0,0,0,1,2,4,1.1,-21,2011-05-01
16,Jeff Green,BOS,21:32,3,8,.375,2,4,.500,1,3,.333,0,0,0,1,1,1,2,1,9,3.8,-9,2011-05-01
17,Nenad Krstić,BOS,5:41,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.1,-9,2011-05-01
0,Allan Houston,NYK,47:01,12,17,.706,0,2,.000,8,10,.800,1,1,2,2,0,0,3,1,32,23.1,+8,1999-06-11
1,Latrell Sprewell,NYK,43:02,7,19,.368,0,2,.000,6,6,1.000,3,2,5,3,1,2,4,2,20,11.9,+3,1999-06-11
2,Chris Dudley,NYK,23:11,0,4,.000,0,0,,0,0,,0,4,4,0,3,0,1,3,0,-0.8,-10,1999-06-11
3,Larry Johnson,NYK,13:31,2,5,.400,0,1,.000,4,4,1.000,0,1,1,1,0,0,0,1,8,5.9,-2,1999-06-11
4,Charlie Ward,NYK,11:31,0,1,.000,0,1,.000,0,0,,0,1,1,1,3,0,2,1,0,0.9,-14,1999-06-11
5,Marcus Camby,NYK,37:27,4,6,.667,0,0,,7,11,.636,2,7,9,1,2,3,1,2,15,17.3,+26,1999-06-11
6,Chris Childs,NYK,36:55,3,9,.333,1,3,.333,2,2,1.000,0,4,4,4,2,0,2,3,9,6.7,+24,1999-06-11
7,Kurt Thomas,NYK,27:22,3,9,.333,0,0,,0,0,,4,3,7,1,1,0,2,3,6,3.1,+5,1999-06-11
8,Patrick Ewing,NYK,Did Not Dress,,,,,,,,,,,,,,,,,,,,,1999-06-11
9,David Wingate,NYK,Did Not Dress,,,,,,,,,,,,,,,,,,,,,1999-06-11
10,Reggie Miller,IND,36:11,3,18,.167,1,8,.125,1,1,1.000,1,2,3,4,0,0,2,5,8,-3.3,-6,1999-06-11
11,Dale Davis,IND,33:10,3,4,.750,0,0,,2,2,1.000,4,8,12,0,0,1,4,5,8,6.3,+1,1999-06-11
12,Mark Jackson,IND,32:46,6,8,.750,2,4,.500,0,0,,0,4,4,4,0,0,2,5,14,10.8,-4,1999-06-11
13,Rik Smits,IND,32:37,9,18,.500,0,0,,2,2,1.000,2,6,8,2,2,0,6,6,20,9.2,+5,1999-06-11
14,Chris Mullin,IND,24:20,0,3,.000,0,1,.000,1,1,1.000,0,5,5,2,0,0,2,2,1,-1.0,+10,1999-06-11
15,Jalen Rose,IND,30:10,7,15,.467,1,4,.250,1,1,1.000,0,1,1,3,3,1,3,5,16,9.4,-19,1999-06-11
16,Antonio Davis,IND,21:32,2,4,.500,0,0,,0,0,,1,0,1,0,0,1,1,3,4,1.2,-12,1999-06-11
17,Travis Best,IND,15:14,3,6,.500,1,2,.500,0,0,,0,2,2,3,1,0,1,1,7,6.3,-4,1999-06-11
18,Derrick McKey,IND,9:58,1,1,1.000,0,0,,2,2,1.000,1,1,2,1,0,0,4,3,4,0.2,-9,1999-06-11
19,Sam Perkins,IND,4:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-2,1999-06-11
0,Kenyon Martin,NJN,42:25,6,15,.400,0,0,,2,4,.500,4,6,10,4,2,0,4,5,14,8.5,0,2003-05-07
1,Richard Jefferson,NJN,41:17,10,18,.556,0,0,,5,6,.833,1,5,6,3,2,0,4,1,25,17.9,+27,2003-05-07
2,Jason Kidd,NJN,38:26,6,10,.600,2,2,1.000,9,9,1.000,1,10,11,8,2,0,6,0,23,23.7,+13,2003-05-07
3,Kerry Kittles,NJN,30:48,6,12,.500,3,5,.600,1,2,.500,1,2,3,4,1,0,0,4,16,13.1,+14,2003-05-07
4,Jason Collins,NJN,29:37,2,6,.333,0,1,.000,6,8,.750,3,3,6,1,3,1,0,4,10,11.6,+17,2003-05-07
5,Lucious Harris,NJN,18:04,1,6,.167,1,1,1.000,0,0,,0,2,2,6,0,0,2,3,3,0.8,-4,2003-05-07
6,Aaron Williams,NJN,17:01,0,5,.000,0,0,,4,4,1.000,2,1,3,1,0,0,0,1,4,2.5,-9,2003-05-07
7,Rodney Rogers,NJN,12:48,2,4,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,2,5,3.2,-9,2003-05-07
8,Anthony Johnson,NJN,9:35,2,3,.667,0,0,,0,0,,1,1,2,1,1,0,1,3,4,3.2,-4,2003-05-07
9,Paul Pierce,BOS,45:29,9,17,.529,1,3,.333,13,15,.867,2,8,10,11,2,1,6,4,32,29.5,-2,2003-05-07
10,Antoine Walker,BOS,44:40,3,15,.200,0,1,.000,1,2,.500,4,5,9,3,1,0,5,4,7,-1.9,-7,2003-05-07
11,Walter McCarty,BOS,38:09,2,5,.400,0,3,.000,0,0,,2,4,6,0,3,1,3,5,4,2.6,-11,2003-05-07
12,Tony Delk,BOS,36:48,7,13,.538,3,6,.500,2,2,1.000,0,5,5,6,1,0,3,2,19,15.6,-1,2003-05-07
13,Tony Battie,BOS,24:16,7,11,.636,0,1,.000,1,2,.500,1,2,3,0,0,1,1,4,15,9.1,+10,2003-05-07
14,Eric Williams,BOS,26:38,4,9,.444,0,1,.000,1,2,.500,0,0,0,2,2,0,1,3,9,5.1,-16,2003-05-07
15,Mark Blount,BOS,12:48,2,3,.667,0,0,,1,1,1.000,1,4,5,0,2,1,2,3,5,5.1,-10,2003-05-07
16,J.R. Bremer,BOS,11:12,1,4,.250,1,4,.250,1,1,1.000,0,1,1,2,0,0,0,0,4,3.3,-8,2003-05-07
0,LeBron James,LAL,45:28,8,18,.444,1,7,.143,5,7,.714,5,15,20,7,0,2,1,3,22,23.9,+8,2023-04-24
1,Anthony Davis,LAL,41:54,4,13,.308,0,1,.000,4,6,.667,2,9,11,2,2,4,4,3,12,8.8,-3,2023-04-24
2,Austin Reaves,LAL,41:36,7,16,.438,2,5,.400,7,8,.875,0,4,4,6,1,0,3,4,23,16.0,+12,2023-04-24
3,D'Angelo Russell,LAL,28:51,7,15,.467,3,8,.375,0,0,,0,1,1,3,0,0,2,6,17,7.3,-16,2023-04-24
4,Jarred Vanderbilt,LAL,19:38,6,9,.667,2,5,.400,1,2,.500,3,3,6,1,0,3,2,0,15,14.5,-18,2023-04-24
5,Dennis Schröder,LAL,30:23,3,5,.600,0,1,.000,6,6,1.000,0,0,0,1,2,2,3,1,12,10.4,+24,2023-04-24
6,Rui Hachimura,LAL,26:19,2,9,.222,1,4,.250,2,2,1.000,1,5,6,1,0,0,0,0,7,4.4,+18,2023-04-24
7,Troy Brown Jr.,LAL,21:49,3,5,.600,0,2,.000,0,0,,2,2,4,1,0,0,0,0,6,6.4,+6,2023-04-24
8,Malik Beasley,LAL,9:02,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,0.6,-1,2023-04-24
9,Desmond Bane,MEM,46:47,13,29,.448,3,12,.250,7,7,1.000,2,5,7,3,1,0,3,4,36,22.3,-4,2023-04-24
10,Ja Morant,MEM,44:02,8,24,.333,1,6,.167,2,4,.500,3,1,4,7,3,1,4,3,19,10.4,+1,2023-04-24
11,Jaren Jackson Jr.,MEM,42:02,5,15,.333,0,4,.000,4,5,.800,6,8,14,1,0,5,4,4,14,10.3,+1,2023-04-24
12,Xavier Tillman Sr.,MEM,41:32,5,9,.556,0,1,.000,2,2,1.000,2,6,8,6,1,1,1,5,12,13.8,-3,2023-04-24
13,Dillon Brooks,MEM,40:55,4,11,.364,1,7,.143,2,2,1.000,1,4,5,4,0,0,1,5,11,6.6,+2,2023-04-24
14,David Roddy,MEM,19:42,3,10,.300,2,6,.333,1,1,1.000,1,4,5,2,0,0,0,2,9,5.7,-10,2023-04-24
15,Luke Kennard,MEM,13:37,2,4,.500,2,4,.500,0,0,,1,3,4,1,0,0,0,2,6,5.5,-10,2023-04-24
16,Tyus Jones,MEM,8:58,1,2,.500,0,1,.000,0,0,,0,1,1,2,0,0,0,0,2,2.7,-7,2023-04-24
17,Santi Aldama,MEM,7:25,1,2,.500,0,1,.000,0,0,,0,1,1,0,2,0,0,1,2,2.9,0,2023-04-24
0,Brandon Ingram,LAL,44:01,12,21,.571,2,2,1.000,6,7,.857,0,5,5,3,3,2,7,5,32,20.7,-8,2017-11-29
1,Lonzo Ball,LAL,43:20,5,12,.417,3,7,.429,2,2,1.000,1,1,2,10,1,0,2,2,15,14.8,-8,2017-11-29
2,Kentavious Caldwell-Pope,LAL,41:32,7,18,.389,2,8,.250,5,6,.833,2,5,7,0,1,0,2,3,21,11.5,+1,2017-11-29
3,Larry Nance Jr.,LAL,22:27,0,2,.000,0,0,,0,0,,0,4,4,5,4,1,0,0,0,8.0,-11,2017-11-29
4,Brook Lopez,LAL,16:52,2,5,.400,0,2,.000,2,3,.667,0,1,1,1,1,1,2,1,6,3.2,-15,2017-11-29
